bin,count
0,0
1,0
2,0
3,1
4,107
5,102
6,316
7,357
8,463
9,442
10,451
11,512
12,556
13,563
14,513
15,508
16,625
17,683
18,667
19,731
20,871
21,981
22,1063
23,1179
24,1304
25,1739
26,1874
27,2512
28,3700
29,3675
30,3964
31,4011
32,3359
33,2867
34,2858
35,3058
36,2645
37,2330
38,2231
39,2164
40,2513
41,2834
42,1942
43,1554
44,1772
45,1392
46,1327
47,1184
48,1175
49,1144
50,1086
51,1075
52,1028
53,980
54,969
55,953
56,947
57,1006
58,1135
59,1262
60,1185
61,1098
62,1135
63,1105
64,1161
65,1128
66,1141
67,1151
68,1121
69,1137
70,1138
71,1148
72,1152
73,1181
74,1135
75,1203
76,1201
77,1152
78,1262
79,1213
80,1232
81,1227
82,1217
83,1196
84,1271
85,1275
86,1272
87,1254
88,1284
89,1366
90,1324
91,1352
92,1374
93,1407
94,1499
95,1522
96,1611
97,1539
98,1609
99,1605
100,1506
101,1544
102,1525
103,1681
104,1814
105,1892
106,1934
107,1957
108,2163
109,1970
110,2038
111,2119
112,2144
113,2033
114,2103
115,2045
116,2014
117,1974
118,2006
119,1964
120,1913
121,1954
122,1910
123,1889
124,1870
125,1900
126,1842
127,1792
128,1832
129,1850
130,1803
131,1806
132,1806
133,1887
134,1837
135,1868
136,2004
137,1946
138,1884
139,1916
140,1889
141,1917
142,1896
143,1939
144,1907
145,1929
146,1929
147,2165
148,2073
149,2088
150,2097
151,2163
152,2071
153,2122
154,2124
155,2030
156,1901
157,1894
158,1879
159,1956
160,2004
161,2112
162,2147
163,1971
164,1918
165,1971
166,1912
167,1916
168,1913
169,1922
170,1858
171,1847
172,1841
173,1873
174,1872
175,1804
176,1789
177,1598
178,1528
179,1534
180,1639
181,1663
182,1635
183,1655
184,1649
185,1765
186,1670
187,1709
188,1701
189,1744
190,1787
191,1734
192,1734
193,1864
194,1892
195,2006
196,2042
197,2030
198,2072
199,2051
200,2170
201,2228
202,2246
203,2132
204,2215
205,2161
206,2247
207,2440
208,2586
209,2663
210,2708
211,3047
212,3242
213,3248
214,3413
215,3840
216,7938
217,30028
218,36472
219,43573
220,23699
221,14547
222,22597
223,34185
224,24585
225,124167
226,146231
227,32632
228,8516
229,5650
230,1073
231,2
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
