bin,count
0,2063
1,1443
2,976
3,661
4,837
5,680
6,728
7,1087
8,1321
9,1093
10,958
11,914
12,1189
13,1146
14,1263
15,1337
16,1386
17,1812
18,2321
19,2593
20,2574
21,2507
22,2549
23,2384
24,2315
25,2457
26,2340
27,2418
28,2200
29,2311
30,2503
31,2313
32,2652
33,2514
34,2634
35,2804
36,2843
37,3128
38,3271
39,3097
40,3469
41,5879
42,2981
43,2362
44,2096
45,1925
46,1530
47,1408
48,1390
49,1376
50,1387
51,1444
52,1330
53,1319
54,1253
55,1321
56,1246
57,1247
58,1258
59,1179
60,1298
61,1362
62,1287
63,1357
64,1335
65,1203
66,1168
67,1121
68,1085
69,968
70,944
71,992
72,1040
73,1046
74,966
75,993
76,1025
77,938
78,908
79,928
80,944
81,926
82,913
83,907
84,918
85,952
86,896
87,916
88,898
89,811
90,820
91,851
92,809
93,829
94,790
95,816
96,846
97,921
98,944
99,958
100,948
101,937
102,980
103,1082
104,1044
105,1022
106,1089
107,1087
108,1059
109,1177
110,1177
111,1218
112,1104
113,1217
114,1215
115,1239
116,1263
117,1347
118,1394
119,1344
120,1286
121,1216
122,1247
123,1182
124,1178
125,1253
126,1261
127,1265
128,1295
129,1377
130,1385
131,1420
132,1355
133,1460
134,1407
135,1457
136,1407
137,1779
138,1895
139,1888
140,1939
141,1957
142,1889
143,1749
144,1743
145,1641
146,1538
147,1513
148,1430
149,1334
150,1274
151,1328
152,1213
153,1226
154,1199
155,1235
156,1207
157,1171
158,1213
159,1165
160,1216
161,1210
162,1270
163,1223
164,1331
165,1380
166,1423
167,1379
168,1314
169,1254
170,1199
171,1221
172,1174
173,1145
174,1086
175,1051
176,1051
177,1058
178,1052
179,997
180,979
181,1029
182,934
183,945
184,989
185,946
186,973
187,1016
188,984
189,1008
190,1044
191,1031
192,1032
193,940
194,995
195,1032
196,1048
197,1044
198,1094
199,1050
200,1118
201,1059
202,1122
203,1101
204,1124
205,1156
206,1234
207,1292
208,1343
209,1377
210,1526
211,1708
212,1876
213,2136
214,3377
215,5895
216,11689
217,43491
218,45529
219,39403
220,18690
221,16348
222,23333
223,30681
224,26728
225,114041
226,136687
227,71802
228,14470
229,10728
230,8431
231,2163
232,100
233,97
234,22
235,4
236,1
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
